orgUnit,nomSite,categorieEquipement,equipement,disponible,enService,enPanne,obsolete,nonService,enReparation
BomxwNHXhOM,USP Agbonou,Autres,Matériel de démonstration procédures gynécologiques,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Table d’examination médicale,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Chariot brancard,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Hygiène et stérilisation,Accessoires Autoclaves (A0016910 Bowie-Dick paquet de test,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Insufflateur manuel pour bébé,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Laboratoire et chaîne de froid,Hémoleucomètre à huit touches,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Table de soins infirmiers,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Boîte d’épisiotomie,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Aspirateur de mucosités,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Potence porte-sérum + panier,7,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Laboratoire et chaîne de froid,Glucomètre,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Chariot de soins,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Escabeau,4,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Lampe d’examen,4,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Hygiène et stérilisation,"Accessoires des autoclaves (A0016954 SVF95-5000VA Régulateur de tension, A0016911 AQUA Distillateur d’eau, débit 4 l)",1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation","Set d’épisiotomie : Pince Faure, courbée, 25 cm",2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Laboratoire et chaîne de froid,Glacière isotherme,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Laboratoire et chaîne de froid,Porte vaccin,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Autres,Boîte de pansement,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Paravent mobile,3,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Kit d’Aspiration Manuelle Intra-utérine,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Ciseaux de Busch pour cordon ombilical 13cm,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Monitoring et Exploration fonctionnelle,Tensiomètre + stéthoscope bébé,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Fauteuil roulants,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Autres,Kit DIU (Boite de 10 unités),2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Monitoring et Exploration fonctionnelle,Stéthoscope de Pinard,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Lits d’hospitalisation avec table de chevet,6,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Tables d’accouchement,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Laboratoire et chaîne de froid,Hémoglobinomètre,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Boîte d’accouchement basique,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Autres,Attelles (membre inférieur et membre supérieur),2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Tables d’examination gynécologique,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Pèse bébé + toise,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Boîte de petite chirurgie,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Hygiène et stérilisation,Autoclave de paillasse,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Autres,Kit implant,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Jeu de spéculums vaginal,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Lampe torche,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,"Bloc opératoire, d’anesthésie et réanimation",Table de petite chirurgie,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Monitoring et Exploration fonctionnelle,Visionneuse de veines,1,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Autres,Bock à lavement,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Monitoring et Exploration fonctionnelle,Tensiomètre + stéthoscope,3,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Boîte à instruments,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Mobilier médical,Tabouret télescopique mobile,2,0,0,0,0,0
BomxwNHXhOM,USP Agbonou,Monitoring et Exploration fonctionnelle,Détecteur de pouls fœtal,1,0,0,0,0,0
GYq76MzVnnc,USP Foukote-Vossa,Mobilier médical,Chariot de soins,1,0,0,0,0,0
GYq76MzVnnc,USP Foukote-Vossa,Laboratoire et chaîne de froid,Glucomètre,1,0,0,0,0,0
GYq76MzVnnc,USP Foukote-Vossa,"Bloc opératoire, d’anesthésie et réanimation",Boîte d’accouchement basique,2,0,0,0,0,0
GYq76MzVnnc,USP Foukote-Vossa,"Bloc opératoire, d’anesthésie et réanimation",Boîte de petite chirurgie,2,0,0,0,0,0
