"idEquipement","element","disponible","service","panne","obsolete","nonService","reparation"
"1","Agitateur","wkAYDosOK6r","kYKPRJr2TEK","qRifHbcKq3p","zrEYzM2FZP6","oUatDuQlKYa","ypWQ3pGoD9J"
"2","Amalgamateur","qPdh7T5MK1U","dG9TI8Cds62","v1BxxS2ttTa","DnfguCuntQT","JiClIFaFGlf","SqcY8gbDYlU"
"3","Ambulance","zZGPtioPJuI","p7i3s0If4MR","iqiBm7Wqm4N","kQpFshcmRya","weWsHJtUxIS","GHIM84pZgjh"
"4","Amplificateur de brillance","IVOLF0Cpn4d","pBADz6Nchyi","modTxAqXhRm","UYg1c7HGZ4k","THbzGD9OYko","ROxI6EYwFb5"
"5","Analyseur de biologie moléculaire","tZEIurLQnLO","PERewGW9CDt","Aj4KRYdZc7d","CriF0EfqSLD","ZiR0V3XLjKU","BCXnwRCi9wl"
"6","Analyseur des gaz du sang","ccpAA3GVUba","kDueEpH5DHc","w2vyxWBhynV","xZQqr3PvLOS","PVHeNGIsxRB","bmO17iPYZmE"
"7","Appareil d'EFR","Hs7ssgx5xKA","H60fz4JWkIm","SfB4lEg73WC","BhHsmZuLWeP","ScL9rZ7czJG","WOOqz9IASZ1"
"8","Appareil d'électrothérapie","zDOC06sL4Lv","wv5Ein8xJVJ","jipku1WAYNk","KkRdioaAjVZ","cfD1tEXVQbZ","oKrbtBudXzK"
"9","Appareil de radiodiagnostic","lzO8gUVst4b","eeFHIZGBdxl","TiF6anjlwQS","f1K9ELAwtE7","LkqzV2dK8A5","njtWLW7ng4D"
"10","Appareils de radiodiagnostic mobiles","F6eG1Gq3fcy","ZeuhB8jdfQK","F5XIdnTUwW5","l2oylhcBdrn","dhyu9VyAfRb","NYWVm31xTgu"
"11","Aseptiseur des locaux","MX6x7QIqbLn","dw8dwGKaqn1","MI1HPUafTgu","ozhsNygUFeh","vDK7w8gM4n1","cYtaDb2XxXC"
"12","Aspirateur (chirurgical,mucosité, mecanique)","z4oG8Pbw64O","kvtxwpLG9on","UCn9lV7B5lT","d7kbxE1QWFJ","t1K2eALP5QX","VUl0895m9Uy"
"13","Audiomètre","HTfdLycaeeF","RLVSkSZPnim","FeEn40oni5x","O26Ou8y0kZZ","xVMnbn1v6xp","pH965UYFJdQ"
"14","Autoclave","rMIZdhB4ILl","s6tZRkUO1gA","rU8pPCYnyX4","DtkvT0hTzq0","vOPEo7SYbUS","Q7mgmRY94zr"
